text,risk_level
Estoy contento con mis logros no sé qué hacer,0
Me siento motivado para seguir adelante,0
Las cosas están mejorando ayuda por favor,0
Me siento motivado para seguir adelante,0
Disfruto pasar tiempo con mi familia no sé qué hacer,0
Me siento motivado para seguir adelante,0
Disfruto pasar tiempo con mi familia ayuda por favor,0
Todo va bien en mi vida estoy desesperado,0
Estoy contento con mis logros,0
"Hoy me siento bien, gracias por preguntar",0
Las cosas están mejorando,0
"Hoy me siento bien, gracias por preguntar estoy desesperado",0
Las cosas están mejorando,0
Me siento motivado para seguir adelante,0
Disfruto pasar tiempo con mi familia,0
Todo va bien en mi vida,0
Disfruto pasar tiempo con mi familia no sé qué hacer,0
Disfruto pasar tiempo con mi familia estoy desesperado,0
Disfruto pasar tiempo con mi familia estoy desesperado,0
"Hoy me siento bien, gracias por preguntar",0
Me siento motivado para seguir adelante ayuda por favor,0
Las cosas están mejorando,0
Todo va bien en mi vida,0
Las cosas están mejorando,0
Todo va bien en mi vida ayuda por favor,0
"Hoy me siento bien, gracias por preguntar",0
Estoy contento con mis logros estoy desesperado,0
Todo va bien en mi vida no sé qué hacer,0
"Hoy me siento bien, gracias por preguntar no sé qué hacer",0
Todo va bien en mi vida,0
Todo va bien en mi vida,0
Las cosas están mejorando estoy desesperado,0
Todo va bien en mi vida,0
Las cosas están mejorando,0
Las cosas están mejorando no sé qué hacer,0
Todo va bien en mi vida,0
Estoy contento con mis logros ayuda por favor,0
Todo va bien en mi vida,0
Me siento motivado para seguir adelante ayuda por favor,0
"Hoy me siento bien, gracias por preguntar",0
Todo va bien en mi vida,0
Las cosas están mejorando estoy desesperado,0
Me siento un poco triste hoy,1
No sé qué hacer con mi vida estoy desesperado,1
Me preocupa un poco el futuro,1
Estoy cansado pero bien,1
A veces me siento solo,1
Me siento un poco triste hoy,1
No sé qué hacer con mi vida,1
Me siento un poco triste hoy no sé qué hacer,1
Me preocupa un poco el futuro no sé qué hacer,1
No sé qué hacer con mi vida no sé qué hacer,1
Estoy cansado pero bien,1
Me siento un poco triste hoy,1
No sé qué hacer con mi vida,1
A veces me siento solo no sé qué hacer,1
A veces me siento solo no sé qué hacer,1
Me preocupa un poco el futuro,1
No sé qué hacer con mi vida,1
Me preocupa un poco el futuro,1
Me preocupa un poco el futuro,1
Me siento un poco triste hoy,1
No sé qué hacer con mi vida no sé qué hacer,1
Me preocupa un poco el futuro,1
Me siento un poco triste hoy ayuda por favor,1
Me preocupa un poco el futuro no sé qué hacer,1
No sé qué hacer con mi vida,1
No sé qué hacer con mi vida,1
Me siento un poco triste hoy,1
A veces me siento solo no sé qué hacer,1
A veces me siento solo,1
Estoy cansado pero bien,1
A veces me siento solo,1
Estoy cansado pero bien,1
Me siento un poco triste hoy no sé qué hacer,1
A veces me siento solo,1
Me preocupa un poco el futuro,1
Me siento un poco triste hoy ayuda por favor,1
Me preocupa un poco el futuro estoy desesperado,1
No sé qué hacer con mi vida,1
A veces me siento solo no sé qué hacer,1
Me siento un poco triste hoy,1
Me preocupa un poco el futuro no sé qué hacer,1
Me preocupa un poco el futuro,1
A veces me siento solo no sé qué hacer,1
Me siento un poco triste hoy,1
No sé qué hacer con mi vida,1
Estoy cansado pero bien estoy desesperado,1
Me preocupa un poco el futuro,1
A veces me siento solo,1
Me preocupa un poco el futuro no sé qué hacer,1
Me preocupa un poco el futuro,1
A veces me siento solo,1
Estoy cansado pero bien,1
No sé qué hacer con mi vida no sé qué hacer,1
A veces me siento solo,1
Me siento un poco triste hoy ayuda por favor,1
Estoy cansado pero bien,1
A veces me siento solo,1
Estoy cansado pero bien no sé qué hacer,1
Me preocupa un poco el futuro estoy desesperado,1
No sé qué hacer con mi vida,1
A veces me siento solo,1
Estoy cansado pero bien,1
Me preocupa un poco el futuro no sé qué hacer,1
Me siento un poco triste hoy,1
No sé qué hacer con mi vida,1
A veces me siento solo estoy desesperado,1
Estoy cansado pero bien,1
Me preocupa un poco el futuro ayuda por favor,1
No sé qué hacer con mi vida no sé qué hacer,1
Me siento un poco triste hoy,1
No sé qué hacer con mi vida ayuda por favor,1
A veces me siento solo,1
Me preocupa un poco el futuro no sé qué hacer,1
No sé qué hacer con mi vida estoy desesperado,1
Me siento un poco triste hoy,1
Me siento un poco triste hoy,1
Me siento un poco triste hoy estoy desesperado,1
Me siento un poco triste hoy,1
Estoy cansado pero bien,1
Me preocupa un poco el futuro no sé qué hacer,1
Me siento un poco triste hoy no sé qué hacer,1
Me siento un poco triste hoy ayuda por favor,1
Me preocupa un poco el futuro,1
A veces me siento solo estoy desesperado,1
A veces me siento solo,1
Me siento un poco triste hoy,1
No sé qué hacer con mi vida,1
No sé qué hacer con mi vida estoy desesperado,1
No sé qué hacer con mi vida,1
No sé qué hacer con mi vida no sé qué hacer,1
Me siento un poco triste hoy,1
Me siento un poco triste hoy,1
No sé qué hacer con mi vida no sé qué hacer,1
No sé qué hacer con mi vida,1
No sé qué hacer con mi vida,1
Me preocupa un poco el futuro,1
No sé qué hacer con mi vida,1
Me preocupa un poco el futuro ayuda por favor,1
Estoy cansado pero bien ayuda por favor,1
No sé qué hacer con mi vida,1
"Todo me sale mal, no sé qué hacer no sé qué hacer",2
No sé si voy a mejorar algún día no sé qué hacer,2
No encuentro sentido a las cosas,2
"Todo me sale mal, no sé qué hacer ayuda por favor",2
No encuentro sentido a las cosas,2
No sé si voy a mejorar algún día,2
Me siento muy triste y desanimado estoy desesperado,2
"Todo me sale mal, no sé qué hacer",2
"Todo me sale mal, no sé qué hacer",2
Me siento solo aunque esté con gente,2
Me siento muy triste y desanimado estoy desesperado,2
No sé si voy a mejorar algún día ayuda por favor,2
No encuentro sentido a las cosas,2
"Todo me sale mal, no sé qué hacer estoy desesperado",2
No encuentro sentido a las cosas no sé qué hacer,2
No encuentro sentido a las cosas ayuda por favor,2
No sé si voy a mejorar algún día ayuda por favor,2
No sé si voy a mejorar algún día,2
Me siento muy triste y desanimado,2
No encuentro sentido a las cosas,2
Me siento muy triste y desanimado,2
No encuentro sentido a las cosas ayuda por favor,2
Me siento solo aunque esté con gente,2
No encuentro sentido a las cosas no sé qué hacer,2
No encuentro sentido a las cosas estoy desesperado,2
No sé si voy a mejorar algún día ayuda por favor,2
"Todo me sale mal, no sé qué hacer",2
No sé si voy a mejorar algún día,2
Me siento solo aunque esté con gente no sé qué hacer,2
Me siento solo aunque esté con gente no sé qué hacer,2
Me siento solo aunque esté con gente,2
No encuentro sentido a las cosas estoy desesperado,2
Me siento solo aunque esté con gente,2
Me siento solo aunque esté con gente no sé qué hacer,2
No encuentro sentido a las cosas estoy desesperado,2
No sé si voy a mejorar algún día ayuda por favor,2
Me siento muy triste y desanimado,2
Me siento solo aunque esté con gente,2
Me siento solo aunque esté con gente,2
No encuentro sentido a las cosas estoy desesperado,2
"Todo me sale mal, no sé qué hacer ayuda por favor",2
No encuentro sentido a las cosas ayuda por favor,2
Me siento muy triste y desanimado,2
No encuentro sentido a las cosas no sé qué hacer,2
"Todo me sale mal, no sé qué hacer no sé qué hacer",2
No encuentro sentido a las cosas,2
Me siento muy triste y desanimado,2
No encuentro sentido a las cosas estoy desesperado,2
Me siento muy triste y desanimado ayuda por favor,2
No sé si voy a mejorar algún día,2
Me siento muy triste y desanimado no sé qué hacer,2
Me siento muy triste y desanimado,2
No sé si voy a mejorar algún día no sé qué hacer,2
No sé si voy a mejorar algún día ayuda por favor,2
No sé si voy a mejorar algún día ayuda por favor,2
No encuentro sentido a las cosas no sé qué hacer,2
"Todo me sale mal, no sé qué hacer",2
No encuentro sentido a las cosas no sé qué hacer,2
Me siento solo aunque esté con gente,2
No sé si voy a mejorar algún día estoy desesperado,2
Me siento muy triste y desanimado,2
No encuentro sentido a las cosas,2
No encuentro sentido a las cosas no sé qué hacer,2
Me siento muy triste y desanimado ayuda por favor,2
No encuentro sentido a las cosas,2
Me siento muy triste y desanimado,2
Me siento solo aunque esté con gente no sé qué hacer,2
No encuentro sentido a las cosas ayuda por favor,2
No encuentro sentido a las cosas,2
"Todo me sale mal, no sé qué hacer",2
Me siento muy triste y desanimado no sé qué hacer,2
No sé si voy a mejorar algún día ayuda por favor,2
No sé si voy a mejorar algún día estoy desesperado,2
No encuentro sentido a las cosas,2
"Todo me sale mal, no sé qué hacer",2
No sé si voy a mejorar algún día no sé qué hacer,2
Me siento muy triste y desanimado estoy desesperado,2
Me siento muy triste y desanimado ayuda por favor,2
Me siento solo aunque esté con gente ayuda por favor,2
No encuentro sentido a las cosas,2
"Todo me sale mal, no sé qué hacer",2
Me siento solo aunque esté con gente no sé qué hacer,2
Me siento muy triste y desanimado estoy desesperado,2
Me siento solo aunque esté con gente,2
"Todo me sale mal, no sé qué hacer no sé qué hacer",2
Me siento solo aunque esté con gente,2
"Todo me sale mal, no sé qué hacer ayuda por favor",2
No encuentro sentido a las cosas,2
No encuentro sentido a las cosas,2
"Todo me sale mal, no sé qué hacer",2
Me siento solo aunque esté con gente,2
Me siento muy triste y desanimado estoy desesperado,2
No sé si voy a mejorar algún día ayuda por favor,2
"Todo me sale mal, no sé qué hacer",2
Me siento muy triste y desanimado,2
Me siento muy triste y desanimado estoy desesperado,2
No sé si voy a mejorar algún día,2
Me siento solo aunque esté con gente ayuda por favor,2
Me siento muy triste y desanimado ayuda por favor,2
Me siento solo aunque esté con gente no sé qué hacer,2
He estado planeando cómo quitarme la vida estoy desesperado,3
"Ya no quiero vivir, estoy pensando en suicidio",3
"No aguanto más, quiero morir estoy desesperado",3
"No aguanto más, quiero morir estoy desesperado",3
"Ya no quiero vivir, estoy pensando en suicidio ayuda por favor",3
He estado planeando cómo quitarme la vida estoy desesperado,3
"Ya no quiero vivir, estoy pensando en suicidio",3
"Me voy a suicidar, nadie me entiende",3
"Estoy desesperado, voy a acabar con todo ayuda por favor",3
"Estoy desesperado, voy a acabar con todo",3
He estado planeando cómo quitarme la vida,3
"Me voy a suicidar, nadie me entiende estoy desesperado",3
He estado planeando cómo quitarme la vida,3
"Ya no quiero vivir, estoy pensando en suicidio",3
"Me voy a suicidar, nadie me entiende ayuda por favor",3
He estado planeando cómo quitarme la vida ayuda por favor,3
"Me voy a suicidar, nadie me entiende",3
"Estoy desesperado, voy a acabar con todo",3
"Me voy a matar, no puedo más",3
He estado planeando cómo quitarme la vida,3
"Me voy a matar, no puedo más ayuda por favor",3
"Me voy a matar, no puedo más",3
"Me voy a matar, no puedo más estoy desesperado",3
"No aguanto más, quiero morir",3
He estado planeando cómo quitarme la vida,3
"No aguanto más, quiero morir",3
"No aguanto más, quiero morir",3
"Ya no quiero vivir, estoy pensando en suicidio estoy desesperado",3
"No aguanto más, quiero morir ayuda por favor",3
He estado planeando cómo quitarme la vida,3
He estado planeando cómo quitarme la vida,3
"Me voy a matar, no puedo más estoy desesperado",3
"Estoy desesperado, voy a acabar con todo estoy desesperado",3
"Ya no quiero vivir, estoy pensando en suicidio estoy desesperado",3
He estado planeando cómo quitarme la vida no sé qué hacer,3
"No aguanto más, quiero morir",3
"Ya no quiero vivir, estoy pensando en suicidio ayuda por favor",3
"Ya no quiero vivir, estoy pensando en suicidio",3
"Me voy a suicidar, nadie me entiende no sé qué hacer",3
"No aguanto más, quiero morir estoy desesperado",3
"Ya no quiero vivir, estoy pensando en suicidio",3
He estado planeando cómo quitarme la vida no sé qué hacer,3
"No aguanto más, quiero morir",3
"Ya no quiero vivir, estoy pensando en suicidio no sé qué hacer",3
"Me voy a matar, no puedo más ayuda por favor",3
He estado planeando cómo quitarme la vida estoy desesperado,3
He estado planeando cómo quitarme la vida,3
"Ya no quiero vivir, estoy pensando en suicidio ayuda por favor",3
"Me voy a matar, no puedo más no sé qué hacer",3
"No aguanto más, quiero morir ayuda por favor",3
